                            Variables index correlation     qvalue pvalue
M10.73_225.1859m.z M10.73_225.1859m.z  1111   0.3124916 0.04721933  0.002
M9.25_88.0393m.z     M9.25_88.0393m.z  5354   0.3121470 0.02913303  0.001
M8.25_301.1176m.z   M8.25_301.1176m.z  2521   0.3112591 0.07764059  0.005
M4.83_805.5626n       M4.83_805.5626n   636   0.3110095 0.09846512  0.008
M4.85_804.5513m.z   M4.85_804.5513m.z   328   0.3108524 0.07764059  0.005
M3.06_307.2639m.z   M3.06_307.2639m.z  4470   0.3101639 0.07017680  0.004
M2.99_307.2637m.z   M2.99_307.2637m.z  5540   0.3078125 0.07017680  0.004
M12.87_282.2555n     M12.87_282.2555n    20   0.3074558 0.02913303  0.001
M4.92_746.6065m.z   M4.92_746.6065m.z  1175   0.3074159 0.05935514  0.003
M4.86_802.5357m.z   M4.86_802.5357m.z  1336   0.3071385 0.08543946  0.006
M1.61_247.1698m.z   M1.61_247.1698m.z  6031   0.3071228 0.05935514  0.003
M4.72_375.1191m.z   M4.72_375.1191m.z  2690   0.3067986 0.05935514  0.003
M4.90_635.3803m.z   M4.90_635.3803m.z  2143   0.3064113 0.00000000  0.000
M7.50_118.0088n       M7.50_118.0088n  2082   0.3063407 0.07764059  0.005
M8.07_341.2558n       M8.07_341.2558n  1180   0.3063090 0.04721933  0.002
M11.79_690.5202n     M11.79_690.5202n   940   0.3054432 0.07017680  0.004
M2.29_301.1180m.z   M2.29_301.1180m.z   882   0.3053873 0.07764059  0.005
M9.02_267.1600m.z   M9.02_267.1600m.z  3123   0.3053715 0.09846512  0.008
M1.45_215.1650m.z   M1.45_215.1650m.z   697   0.3053276 0.07764059  0.005
M3.82_259.1776n       M3.82_259.1776n  1525   0.3046888 0.05935514  0.003
M10.40_528.1772m.z M10.40_528.1772m.z  1486   0.3046603 0.07017680  0.004
M4.87_742.5743m.z   M4.87_742.5743m.z   595   0.3043008 0.07764059  0.005
M4.84_796.5852m.z   M4.84_796.5852m.z  1226   0.3040039 0.07764059  0.005
M7.67_574.2040m.z   M7.67_574.2040m.z  1237   0.3037461 0.07764059  0.005
M5.65_259.0278m.z   M5.65_259.0278m.z  5500   0.3035654 0.11341071  0.011
M7.74_313.1197m.z   M7.74_313.1197m.z   737   0.3034649 0.07764059  0.005
M4.99_742.5401m.z   M4.99_742.5401m.z  1647   0.3032614 0.07017680  0.004
M4.48_702.5422m.z   M4.48_702.5422m.z  3595   0.3031090 0.05935514  0.003
M6.28_419.0657m.z   M6.28_419.0657m.z  3132   0.3031069 0.05935514  0.003
M0.96_324.2302n       M0.96_324.2302n    22   0.3031004 0.05935514  0.003
M8.43_323.1859m.z   M8.43_323.1859m.z  5675   0.3029426 0.07017680  0.004
M0.99_512.5032m.z   M0.99_512.5032m.z  2618   0.3029123 0.07764059  0.005
M5.81_330.8611m.z   M5.81_330.8611m.z  1680   0.3022707 0.08543946  0.006
M11.54_529.4239m.z M11.54_529.4239m.z  3166   0.3020436 0.05935514  0.003
M10.80_293.2121m.z M10.80_293.2121m.z  3480   0.3017220 0.02913303  0.001
M7.44_315.2402n       M7.44_315.2402n   382   0.3017026 0.02913303  0.001
M9.41_337.0183n       M9.41_337.0183n  5106   0.3013993 0.07017680  0.004
M0.96_199.1701m.z   M0.96_199.1701m.z   141   0.3011297 0.08543946  0.006
M6.15_786.6003m.z   M6.15_786.6003m.z  3363   0.3008966 0.08543946  0.006
M5.51_344.2792m.z   M5.51_344.2792m.z   579   0.3008707 0.07017680  0.004
M4.77_804.5514m.z   M4.77_804.5514m.z   388   0.3008623 0.08543946  0.006
M11.30_437.1853m.z M11.30_437.1853m.z  3182   0.3006332 0.07764059  0.005
M7.54_314.1270n       M7.54_314.1270n  1950   0.3006113 0.07017680  0.004
M12.87_329.2327m.z M12.87_329.2327m.z  2838   0.3005367 0.04721933  0.002
M5.40_861.5516m.z   M5.40_861.5516m.z  1395   0.3004780 0.08543946  0.006
M4.53_726.5427m.z   M4.53_726.5427m.z  1681   0.3003136 0.09846512  0.008
M10.33_243.1964m.z M10.33_243.1964m.z  2241   0.3002461 0.10373684  0.009
M7.75_298.1562n       M7.75_298.1562n  2654   0.3000991 0.07764059  0.005
M5.99_786.6004m.z   M5.99_786.6004m.z  3928   0.2998587 0.09846512  0.008
M10.21_267.1965m.z M10.21_267.1965m.z  2453   0.2994855 0.04721933  0.002
M12.88_327.2265m.z M12.88_327.2265m.z   244   0.2992857 0.05935514  0.003
M11.96_519.2245m.z M11.96_519.2245m.z   741   0.2992790 0.05935514  0.003
