                            Variables index correlation     qvalue pvalue
M5.88_528.3092m.z   M5.88_528.3092m.z  1781  -0.2914960 0.10875000  0.010
M11.90_132.0301m.z M11.90_132.0301m.z   710  -0.2912933 0.10373684  0.009
M9.89_234.0633m.z   M9.89_234.0633m.z  2338  -0.2912235 0.05935514  0.003
M5.86_626.3467m.z   M5.86_626.3467m.z  1107  -0.2911740 0.10875000  0.010
M9.88_104.0352m.z   M9.88_104.0352m.z   630  -0.2910136 0.08543946  0.006
M12.12_471.1995m.z M12.12_471.1995m.z  1888  -0.2907524 0.09359368  0.007
M5.21_328.0505n       M5.21_328.0505n  2131  -0.2906081 0.07764059  0.005
M4.69_339.0886m.z   M4.69_339.0886m.z  3160  -0.2904803 0.07017680  0.004
M4.69_298.0851n       M4.69_298.0851n   685  -0.2902961 0.08543946  0.006
M12.10_425.2218m.z M12.10_425.2218m.z  1441  -0.2893218 0.09846512  0.008
M1.10_371.0432m.z   M1.10_371.0432m.z  1453  -0.2889254 0.07764059  0.005
M9.49_367.1403m.z   M9.49_367.1403m.z  2786  -0.2880096 0.08543946  0.006
M1.12_471.3111m.z   M1.12_471.3111m.z  2461  -0.2879430 0.09359368  0.007
M10.78_528.3086m.z M10.78_528.3086m.z  2433  -0.2874304 0.12415489  0.013
M9.73_370.0570m.z   M9.73_370.0570m.z  1362  -0.2873746 0.07764059  0.005
M6.26_266.1384m.z   M6.26_266.1384m.z  1924  -0.2872447 0.09846512  0.008
M7.38_237.1131m.z   M7.38_237.1131m.z  1915  -0.2872131 0.09846512  0.008
M8.57_227.1388m.z   M8.57_227.1388m.z  5987  -0.2869266 0.09359368  0.007
M11.39_507.3318n     M11.39_507.3318n   342  -0.2864130 0.09846512  0.008
M11.13_273.0725m.z M11.13_273.0725m.z   402  -0.2857961 0.08543946  0.006
M5.07_211.1116n       M5.07_211.1116n  3542  -0.2857508 0.07017680  0.004
M9.87_262.0773m.z   M9.87_262.0773m.z   570  -0.2857452 0.07764059  0.005
M6.92_259.0278m.z   M6.92_259.0278m.z  3600  -0.2856033 0.10373684  0.009
M11.78_174.0405m.z M11.78_174.0405m.z  3919  -0.2855094 0.05935514  0.003
M11.28_478.2933m.z M11.28_478.2933m.z   573  -0.2854824 0.09846512  0.008
M7.60_633.2816m.z   M7.60_633.2816m.z  2380  -0.2852295 0.09359368  0.007
M12.11_313.2107m.z M12.11_313.2107m.z  1104  -0.2851780 0.08543946  0.006
M4.84_93.0345m.z     M4.84_93.0345m.z  6319  -0.2851225 0.11341071  0.011
M4.00_241.0045n       M4.00_241.0045n  3598  -0.2849389 0.07764059  0.005
M1.53_157.0761m.z   M1.53_157.0761m.z  2605  -0.2848281 0.11341071  0.011
M10.59_370.0674n     M10.59_370.0674n   247  -0.2846513 0.08543946  0.006
M1.07_431.3161m.z   M1.07_431.3161m.z   494  -0.2846038 0.07764059  0.005
M5.96_578.3460m.z   M5.96_578.3460m.z   153  -0.2843592 0.11341071  0.011
M0.55_129.0426n       M0.55_129.0426n   865  -0.2842685 0.09359368  0.007
M7.18_271.1087m.z   M7.18_271.1087m.z  4374  -0.2839198 0.09359368  0.007
M14.41_205.1181m.z M14.41_205.1181m.z  5985  -0.2838802 0.10875000  0.010
M10.74_361.2724m.z M10.74_361.2724m.z  2754  -0.2835502 0.11926761  0.012
M1.60_377.2692m.z   M1.60_377.2692m.z  3142  -0.2835099 0.07017680  0.004
M1.92_377.2694m.z   M1.92_377.2694m.z  3031  -0.2833960 0.11926761  0.012
M7.19_388.1498n       M7.19_388.1498n  1887  -0.2829521 0.09846512  0.008
M11.26_203.0673m.z M11.26_203.0673m.z  2504  -0.2825654 0.10373684  0.009
M5.19_134.0460m.z   M5.19_134.0460m.z  5034  -0.2824296 0.12830303  0.014
M1.53_175.0633n       M1.53_175.0633n  1037  -0.2822528 0.09846512  0.008
M6.91_387.1657m.z   M6.91_387.1657m.z  4652  -0.2821464 0.07764059  0.005
M10.04_83.0250m.z   M10.04_83.0250m.z  2553  -0.2817065 0.09846512  0.008
M7.46_213.1133m.z   M7.46_213.1133m.z  4883  -0.2814179 0.11341071  0.011
M10.79_217.0827m.z M10.79_217.0827m.z  2968  -0.2813294 0.10373684  0.009
M5.73_500.2779m.z   M5.73_500.2779m.z   804  -0.2811736 0.10875000  0.010
M10.91_370.0674n     M10.91_370.0674n    83  -0.2809148 0.07017680  0.004
M10.92_552.3100m.z M10.92_552.3100m.z  1833  -0.2807782 0.10875000  0.010
M6.48_244.1542m.z   M6.48_244.1542m.z  1509  -0.2804785 0.11341071  0.011
M13.25_229.1184m.z M13.25_229.1184m.z  6235  -0.2804036 0.09846512  0.008
M9.40_514.2841m.z   M9.40_514.2841m.z  2387  -0.2797896 0.09359368  0.007
M6.32_173.1181m.z   M6.32_173.1181m.z  3344  -0.2796806 0.09359368  0.007
M2.00_581.5160m.z   M2.00_581.5160m.z  2001  -0.2793139 0.09846512  0.008
M6.57_259.0278m.z   M6.57_259.0278m.z  3148  -0.2788920 0.09846512  0.008
M9.04_117.0192m.z   M9.04_117.0192m.z  5343  -0.2788883 0.10875000  0.010
M9.84_132.0533n       M9.84_132.0533n   793  -0.2782514 0.10373684  0.009
