                            Variables index correlation      qvalue pvalue
M3.82_259.1776n       M3.82_259.1776n  1525  -0.3112971 0.008547779  0.001
M8.66_161.0378m.z   M8.66_161.0378m.z  5785  -0.3107189 0.000000000  0.000
M5.51_342.2636m.z   M5.51_342.2636m.z   486  -0.3106937 0.008547779  0.001
M3.18_309.2797m.z   M3.18_309.2797m.z  5778  -0.3105456 0.000000000  0.000
M2.16_226.1203n       M2.16_226.1203n  2758  -0.3104403 0.015211976  0.002
M10.86_295.1641m.z M10.86_295.1641m.z  3735  -0.3098106 0.000000000  0.000
M1.19_165.0919m.z   M1.19_165.0919m.z   349  -0.3097857 0.000000000  0.000
M10.04_389.2695m.z M10.04_389.2695m.z  3639  -0.3092639 0.015211976  0.002
M7.63_149.1000m.z   M7.63_149.1000m.z  5001  -0.3091350 0.008547779  0.001
M7.91_186.0873m.z   M7.91_186.0873m.z  6014  -0.3090925 0.000000000  0.000
M6.26_344.0974m.z   M6.26_344.0974m.z  2726  -0.3090484 0.015211976  0.002
M7.47_147.0814m.z   M7.47_147.0814m.z  5913  -0.3087446 0.008547779  0.001
M13.15_234.1445m.z M13.15_234.1445m.z  6147  -0.3077356 0.008547779  0.001
M1.30_237.1494m.z   M1.30_237.1494m.z  2550  -0.3073582 0.000000000  0.000
M9.12_839.7233n       M9.12_839.7233n   887  -0.3073448 0.000000000  0.000
M7.31_248.1030m.z   M7.31_248.1030m.z   670  -0.3068677 0.000000000  0.000
M7.81_160.0755m.z   M7.81_160.0755m.z  4378  -0.3066027 0.000000000  0.000
M4.38_199.0975m.z   M4.38_199.0975m.z  4754  -0.3065373 0.008547779  0.001
M12.49_825.4402m.z M12.49_825.4402m.z  4511  -0.3063981 0.008547779  0.001
M10.81_307.1888m.z M10.81_307.1888m.z  1797  -0.3061577 0.008547779  0.001
M10.04_183.1389m.z M10.04_183.1389m.z  6143  -0.3052098 0.008547779  0.001
M12.50_305.2484m.z M12.50_305.2484m.z   545  -0.3051023 0.000000000  0.000
M5.19_472.3418m.z   M5.19_472.3418m.z  4537  -0.3047980 0.008547779  0.001
M0.96_313.1190m.z   M0.96_313.1190m.z  2036  -0.3032125 0.008547779  0.001
M4.24_159.1025m.z   M4.24_159.1025m.z  5224  -0.3028629 0.000000000  0.000
M5.68_312.2166m.z   M5.68_312.2166m.z   932  -0.3025249 0.015211976  0.002
M5.34_224.0839n       M5.34_224.0839n  3089  -0.3024068 0.008547779  0.001
M10.51_350.1715n     M10.51_350.1715n  3147  -0.3023299 0.008547779  0.001
M1.92_131.0620m.z   M1.92_131.0620m.z  2695  -0.3022926 0.015211976  0.002
M10.43_291.1963m.z M10.43_291.1963m.z  3991  -0.3019520 0.000000000  0.000
M9.99_198.1619n       M9.99_198.1619n  1439  -0.3016184 0.008547779  0.001
M12.35_329.2485m.z M12.35_329.2485m.z   588  -0.3008836 0.000000000  0.000
M0.55_204.1228m.z   M0.55_204.1228m.z   755  -0.3002384 0.000000000  0.000
M10.16_331.1892m.z M10.16_331.1892m.z  1804  -0.2996384 0.008547779  0.001
M2.90_187.0864m.z   M2.90_187.0864m.z  6284  -0.2994816 0.008547779  0.001
M11.52_527.1930m.z M11.52_527.1930m.z   392  -0.2994033 0.000000000  0.000
