	T1	T2	T3	T4	T5	T6
time	T1	T2	T3	T4	T5	T6
UBE2O	2.42465216029295	2.48494587949613	2.21273517546263	1.60090676886264	2.98636896805672	2.96521959068373
ORAI3	2.70344339372505	2.11312105777529	2.09513173911359	2.34716365347265	1.89242860951236	3.65222708719545
LYSMD3	1.90839908163298	1.90257502933386	1.97720485903826	1.57966006467418	1.11126921304092	2.36210551400099
B3GALT6	2.72974682679651	2.68210187312334	2.78496059185756	2.45960808467019	2.58876960462222	3.58719756447895
JAKMIP2	0.980790763997554	1.5173084114811	0.961573386796784	0.406991815825164	0.85536985161295	0.715290613603428
ZNF683	2.10946027699188	1.59037757355631	1.85694292718674	0.79058931853443	1.15938292159133	2.4543469989298
SLC35A4	3.85519547765476	2.97860743023233	3.8488401807843	3.45775420032174	3.13927875098346	4.60578808202482
IP6K1	2.0619969100267	2.80809806555441	2.68208607016303	2.601099096341	2.81500723463928	3.07690215044604
SSNA1	4.63137157925613	3.66644358981544	4.26152489562578	4.04429605726863	3.79629861263879	4.75250217022728
CSTF3	2.44436668329175	2.07260421498607	2.62489341499611	2.60239317179717	1.27594652271733	3.47256832204646
YES1	1.53822053338818	1.89838729130249	1.97489338226001	2.12509321276464	1.61467527478011	1.39425268731605
CHMP6	2.94306430177499	2.69049763539693	2.52667798767646	2.30736917840747	2.28468044480481	1.09150014196051
TMEM39A	1.10380145370917	1.45124898489256	1.2931152279575	0.733542926196815	0.386871203059951	1.45690524704694
CCDC57	3.18743801938279	3.52612209130037	3.69694277846362	3.46125427763313	3.75528674103456	3.27758082180608
BNIP3	1.59750946091164	1.59361029537142	1.97224864483702	0.853048863574738	1.74381886167117	3.20251781503791
ATAD5	1.61751431218013	1.96174058235525	1.86798627785575	1.34316412201795	2.57280581395636	2.76993109628758
SMIM19	3.18845759957475	2.76847835255988	2.74135773078183	3.35273055578542	2.80555292544712	4.06163425390834
ZBTB8OS	2.81755731366884	2.76922023379083	2.69903735796305	2.76312358799678	2.91896221039364	3.52108340616563
COX8A	7.63500919091514	6.78418063862203	7.63637593185632	7.28251527284127	7.30307738469813	7.50280174684311
CRLF3	3.77547083240679	3.4182737934349	3.69677043773845	3.42892602890731	4.08900353610474	4.36096166962116
RNPEP	4.12142912415738	3.11945292007955	4.28802892963323	3.01753689588504	3.09104462980622	3.7184330162267
EID2	2.07914398276522	2.23340151980084	2.03196031774563	1.47061113182359	2.39899623079084	2.5892691374427
KCMF1	4.20216963228652	3.8964268262279	4.39528161655538	4.14542212272198	4.476819364748	5.15609986920082
DNAJC30	1.57031666223855	1.94579788096479	1.53849812402741	1.43596309581507	1.34830315787421	1.52030311336304
SYNE3	2.00603987808579	2.55359885281504	2.26499708336009	1.18852092295931	2.88243560266669	2.99340411404067
CLK2	1.86102999911179	1.44125856992613	1.13875186157316	1.3456777778855	0.836140034291249	3.18191605354675
SLCO3A1	4.45547520181674	4.70757847011048	4.06263477848944	3.72954918315678	3.12204500261868	3.9789175309924
SGF29	2.55582090483172	2.21459990778385	2.16888975101414	1.87172207035201	2.1954413906495	2.3557602815094
GNG7	2.58698986694529	2.26474745732939	1.55709357242004	3.04683990700491	2.81445763547672	3.43056592471874
USF3	4.66831848069647	4.79538055478277	4.64826751055251	4.77511483968157	4.89708433794029	4.33989311632422
KBTBD11	1.35746932903737	1.68589427179406	1.40576697930235	1.80484600726289	0.85806339830483	2.90640654890898
